epoch,train_entropy,train_mce,val_entropy,val_mce
0,2.696870,0.900667,2.731513,0.909000
1,6.368496,0.900000,6.378274,0.900000
2,5.773773,0.900000,5.789700,0.900000
3,5.377530,0.899667,5.403669,0.900000
4,5.130896,0.894667,5.170194,0.897000
5,4.974444,0.884667,5.028207,0.886000
6,4.863083,0.878667,4.931474,0.877000
7,4.770706,0.872667,4.853290,0.867000
8,4.685808,0.865000,4.781788,0.863000
9,4.604736,0.858000,4.713063,0.858000
10,4.527200,0.852333,4.646646,0.848000
11,4.453802,0.843000,4.583048,0.842000
12,4.384849,0.832000,4.522587,0.833000
13,4.320176,0.818667,4.465204,0.824000
14,4.259397,0.803333,4.410666,0.811000
15,4.202062,0.794667,4.358689,0.800000
16,4.147752,0.784000,4.309015,0.787000
17,4.096131,0.771667,4.261451,0.775000
18,4.046960,0.765667,4.215891,0.765000
19,4.000091,0.755000,4.172295,0.755000
20,3.955442,0.742667,4.130665,0.744000
21,3.912974,0.734667,4.091024,0.728000
22,3.872678,0.721667,4.053397,0.718000
23,3.834595,0.714000,4.017844,0.709000
24,3.798834,0.708333,3.984482,0.701000
25,3.765458,0.700000,3.953410,0.695000
26,3.734364,0.693333,3.924566,0.686000
27,3.705340,0.686667,3.897772,0.678000
28,3.678128,0.680000,3.872794,0.671000
29,3.652422,0.674000,3.849327,0.666000
30,3.627877,0.669000,3.827051,0.661000
31,3.604252,0.662333,3.805767,0.656000
32,3.581461,0.659000,3.785402,0.653000
33,3.559455,0.655333,3.765909,0.643000
34,3.538164,0.651000,3.747218,0.638000
35,3.517505,0.646667,3.729243,0.637000
36,3.497399,0.643667,3.711899,0.634000
37,3.477786,0.639333,3.695121,0.628000
38,3.458621,0.635667,3.678850,0.627000
39,3.439865,0.630667,3.663038,0.621000
40,3.421500,0.628000,3.647659,0.618000
41,3.403551,0.623000,3.632735,0.612000
42,3.386079,0.618000,3.618331,0.611000
43,3.369153,0.615667,3.604523,0.607000
44,3.352844,0.611000,3.591384,0.607000
45,3.337238,0.606333,3.578997,0.607000
46,3.322448,0.603333,3.567450,0.603000
47,3.308559,0.599000,3.556796,0.600000
48,3.295582,0.593667,3.547016,0.597000
49,3.283469,0.590333,3.538041,0.592000
50,3.272152,0.585000,3.529792,0.589000
51,3.261569,0.583333,3.522198,0.587000
52,3.251665,0.581333,3.515213,0.584000
53,3.242379,0.577667,3.508797,0.584000
54,3.233627,0.575667,3.502887,0.581000
55,3.225297,0.572667,3.497379,0.574000
56,3.217264,0.570333,3.492157,0.571000
57,3.209410,0.568333,3.487109,0.568000
58,3.201624,0.566000,3.482137,0.565000
59,3.193791,0.563667,3.477145,0.566000
60,3.185773,0.563000,3.472012,0.564000
61,3.177445,0.561333,3.466601,0.562000
62,3.168892,0.558667,3.460926,0.562000
63,3.160545,0.555000,3.455375,0.561000
64,3.152623,0.552667,3.450198,0.561000
65,3.144994,0.550333,3.445286,0.559000
66,3.137520,0.549333,3.440506,0.559000
67,3.130123,0.547333,3.435782,0.559000
68,3.122769,0.544333,3.431083,0.557000
69,3.115454,0.542667,3.426403,0.553000
70,3.108187,0.541667,3.421757,0.551000
71,3.100972,0.539000,3.417156,0.549000
72,3.093798,0.538000,3.412605,0.549000
73,3.086630,0.536667,3.408087,0.548000
74,3.079414,0.535000,3.403566,0.548000
75,3.072099,0.534000,3.398994,0.546000
76,3.064664,0.532333,3.394337,0.544000
77,3.057121,0.531000,3.389592,0.544000
78,3.049484,0.528000,3.384768,0.544000
79,3.041750,0.527000,3.379859,0.544000
80,3.033894,0.525000,3.374833,0.543000
81,3.025870,0.523000,3.369639,0.540000
82,3.017620,0.521333,3.364209,0.540000
83,3.009085,0.519667,3.358479,0.538000
84,3.000227,0.517333,3.352413,0.536000
85,2.991081,0.516000,3.346046,0.535000
86,2.981789,0.514667,3.339523,0.534000
87,2.972572,0.513000,3.333063,0.533000
88,2.963619,0.510333,3.326860,0.532000
89,2.955012,0.510333,3.321004,0.530000
90,2.946727,0.509667,3.315478,0.529000
91,2.938683,0.508333,3.310210,0.529000
92,2.930786,0.507667,3.305107,0.524000
93,2.922947,0.506667,3.300079,0.521000
94,2.915095,0.505333,3.295056,0.520000
95,2.907186,0.503000,3.289982,0.519000
96,2.899194,0.501667,3.284827,0.519000
97,2.891120,0.498667,3.279577,0.518000
98,2.882975,0.497667,3.274238,0.516000
99,2.874777,0.497333,3.268823,0.514000
100,2.866540,0.496333,3.263344,0.513000
101,2.858267,0.495333,3.257808,0.513000
102,2.849946,0.494000,3.252213,0.511000
103,2.841551,0.493000,3.246538,0.511000
104,2.833040,0.490667,3.240753,0.508000
105,2.824358,0.489000,3.234811,0.508000
106,2.815447,0.487333,3.228661,0.506000
107,2.806243,0.485667,3.222244,0.504000
108,2.796687,0.484333,3.215508,0.504000
109,2.786734,0.482333,3.208417,0.503000
110,2.776374,0.479333,3.200971,0.502000
111,2.765653,0.479000,3.193227,0.499000
112,2.754689,0.477333,3.185306,0.498000
113,2.743653,0.474667,3.177372,0.497000
114,2.732712,0.472000,3.169583,0.498000
115,2.721976,0.472000,3.162044,0.497000
116,2.711486,0.471000,3.154790,0.496000
117,2.701235,0.470333,3.147814,0.496000
118,2.691214,0.467667,3.141101,0.493000
119,2.681440,0.466333,3.134638,0.492000
120,2.671927,0.464667,3.128391,0.492000
121,2.662630,0.464000,3.122278,0.489000
122,2.653450,0.462667,3.116208,0.488000
123,2.644309,0.462000,3.110133,0.489000
124,2.635170,0.461000,3.104037,0.487000
125,2.626019,0.460000,3.097919,0.486000
126,2.616845,0.459000,3.091781,0.486000
127,2.607642,0.458000,3.085614,0.486000
128,2.598396,0.457667,3.079403,0.485000
129,2.589092,0.456333,3.073124,0.485000
130,2.579712,0.454333,3.066750,0.484000
131,2.570242,0.451333,3.060260,0.484000
132,2.560670,0.450333,3.053641,0.484000
133,2.550986,0.448667,3.046888,0.482000
134,2.541181,0.448333,3.040004,0.482000
135,2.531253,0.447000,3.032997,0.481000
136,2.521211,0.446667,3.025879,0.480000
137,2.511076,0.446000,3.018664,0.478000
138,2.500881,0.444667,3.011360,0.477000
139,2.490670,0.443333,3.003998,0.475000
140,2.480503,0.442333,2.996641,0.474000
141,2.470441,0.441333,2.989359,0.471000
142,2.460519,0.441000,2.982202,0.469000
143,2.450745,0.439000,2.975184,0.469000
144,2.441107,0.436667,2.968297,0.470000
145,2.431582,0.434667,2.961525,0.470000
146,2.422151,0.432667,2.954851,0.468000
147,2.412799,0.431333,2.948265,0.467000
148,2.403515,0.430333,2.941758,0.466000
149,2.394291,0.429000,2.935323,0.463000
150,2.385119,0.426667,2.928953,0.463000
