epoch,train_entropy,train_mce,val_entropy,val_mce
0,2.588837,0.900000,2.586073,0.899000
1,6.375996,0.900000,6.370743,0.900000
2,5.659971,0.900000,5.660005,0.900000
3,5.065008,0.900000,5.073052,0.900000
4,4.604898,0.900000,4.623047,0.900000
5,4.257971,0.898667,4.286667,0.898000
6,3.995874,0.891333,4.034019,0.890000
7,3.790931,0.864000,3.836816,0.863000
8,3.625063,0.823333,3.677010,0.817000
9,3.489178,0.782667,3.545860,0.772000
10,3.376448,0.745667,3.436994,0.730000
11,3.280249,0.714333,3.344147,0.701000
12,3.195577,0.681667,3.262569,0.676000
13,3.119116,0.659333,3.189059,0.659000
14,3.048418,0.640667,3.121199,0.644000
15,2.981712,0.626333,3.057343,0.629000
16,2.917788,0.611667,2.996502,0.611000
17,2.855713,0.600000,2.937917,0.608000
18,2.795125,0.587333,2.881365,0.599000
19,2.736064,0.573333,2.826974,0.596000
20,2.678444,0.564333,2.774678,0.585000
21,2.622035,0.555333,2.724240,0.575000
22,2.566747,0.549000,2.675568,0.566000
23,2.512903,0.543000,2.628976,0.555000
24,2.460915,0.536333,2.584774,0.538000
25,2.409910,0.526000,2.541908,0.526000
26,2.358309,0.521333,2.498750,0.522000
27,2.305489,0.513000,2.454680,0.513000
28,2.251433,0.506333,2.409649,0.510000
29,2.196267,0.499667,2.363726,0.504000
30,2.140170,0.494333,2.317017,0.500000
31,2.083367,0.485667,2.269672,0.494000
32,2.026087,0.479333,2.221862,0.486000
33,1.968522,0.473667,2.173744,0.485000
34,1.910796,0.465333,2.125421,0.481000
35,1.852966,0.460667,2.076934,0.472000
36,1.795045,0.453667,2.028275,0.468000
37,1.737035,0.448000,1.979421,0.462000
38,1.678967,0.440000,1.930377,0.455000
39,1.620933,0.429000,1.881221,0.447000
40,1.563089,0.420000,1.832098,0.435000
41,1.505630,0.413000,1.783192,0.421000
42,1.448754,0.402667,1.734693,0.412000
43,1.392640,0.393000,1.686763,0.404000
44,1.337422,0.380667,1.639520,0.391000
45,1.283167,0.372667,1.593016,0.383000
46,1.229861,0.365333,1.547217,0.379000
47,1.177416,0.357667,1.502023,0.370000
48,1.125725,0.346000,1.457321,0.362000
49,1.074794,0.333000,1.413121,0.357000
50,1.024845,0.321333,1.369667,0.348000
