epoch,train_entropy,train_mce,val_entropy,val_mce
0,2.447713,0.900000,2.441657,0.900000
1,6.234558,0.900000,6.232243,0.900000
2,5.277071,0.900000,5.287623,0.900000
3,4.537231,0.900000,4.561052,0.900000
4,4.087250,0.891667,4.125325,0.887000
5,3.770551,0.847333,3.822950,0.855000
6,3.553779,0.802667,3.618849,0.802000
7,3.405591,0.766000,3.481790,0.773000
8,3.299830,0.743000,3.386624,0.744000
9,3.218075,0.723667,3.315461,0.724000
10,3.146753,0.711000,3.254396,0.711000
11,3.078528,0.701333,3.195759,0.696000
12,3.011077,0.689333,3.137199,0.684000
13,2.944133,0.677000,3.078611,0.678000
14,2.877885,0.660667,3.020377,0.667000
15,2.812479,0.644667,2.962811,0.651000
16,2.747931,0.627000,2.906072,0.632000
17,2.684177,0.614333,2.850212,0.622000
18,2.621067,0.602667,2.795151,0.610000
19,2.558283,0.589333,2.740620,0.601000
20,2.495395,0.579000,2.686218,0.590000
21,2.432118,0.566667,2.631671,0.576000
22,2.368497,0.558333,2.577020,0.565000
23,2.304801,0.548333,2.522520,0.554000
24,2.241325,0.539667,2.468451,0.545000
25,2.178313,0.529667,2.415026,0.536000
26,2.115941,0.520000,2.362375,0.531000
27,2.054309,0.508667,2.310539,0.517000
28,1.993452,0.497333,2.259499,0.510000
29,1.933367,0.483667,2.209204,0.497000
30,1.874056,0.473000,2.159611,0.493000
31,1.815549,0.461000,2.110709,0.480000
32,1.757921,0.452333,2.062526,0.475000
33,1.701280,0.439667,2.015122,0.461000
34,1.645759,0.431333,1.968575,0.453000
35,1.591504,0.417667,1.922979,0.442000
36,1.538660,0.408667,1.878439,0.433000
37,1.487347,0.396333,1.835060,0.425000
38,1.437613,0.386333,1.792906,0.418000
39,1.389392,0.377333,1.751960,0.411000
40,1.342503,0.369667,1.712092,0.405000
41,1.296700,0.362000,1.673106,0.398000
42,1.251751,0.354000,1.634798,0.393000
43,1.207484,0.344333,1.597009,0.385000
44,1.163804,0.332667,1.559649,0.381000
45,1.120674,0.323333,1.522686,0.372000
46,1.078107,0.313333,1.486132,0.364000
47,1.036143,0.306000,1.450034,0.352000
